model_gene	browser_gene
NP_385347_1	SMc01802
NP_384594_1	SMc02158
NP_384510_1	SMc01116
NP_386764_1	SMc00714
NP_385346_2	SMc01801
NP_437517_1	SM_b21537
NP_384145_1	SMc02755
NP_438067_1	SM_b20615
NP_385354_1	SMc01809
NP_387428_1	SMc04088
NP_386891_1	SMc04001
NP_386892_1	SMc04002
NP_387159_1	SMc02482
NP_387158_1	SMc02483
NP_384837_1	SMc00786
NP_384838_1	SMc00787
NP_384840_1	SMc00789
NP_386518_1	SMc01526
NP_435998_1	SMa1371
NP_437001_1	SM_b20479
NP_435300_1	SMa0108
NP_386519_1	SMc01525
NP_437000_1	SM_b20478
NP_386517_1	SMc01527
NP_384839_1	SMc00788
NP_386704_1	SMc02423
NP_386277_1	SMc01871
NP_385730_1	SMc01169
NP_385940_1	SMc00459
NP_385233_1	SMc00557
NP_385569_1	SMc01047
NP_385314_1	SMc01770
NP_385829_1	SMc00294
NP_384661_1	SMc02251
NP_386692_1	SMc02359
NP_386693_1	SMc02360
NP_386588_1	SMc01948
NP_386589_1	SMc01949
NP_387078_1	SMc03121
NP_386591_1	SMc01951
NP_386590_1	SMc01950
NP_385029_1	SMc00078
NP_386039_1	SMc04263
NP_436609_1	SM_b20069
NP_385500_1	SMc01270
NP_386317_1	SMc01582
NP_436710_1	SM_b20170
NP_386167_1	SMc04322
NP_437022_1	SM_b20500
NP_435950_1	SMa1296
NP_385076_1	SMc00105
NP_436620_2	SM_b20080
NP_386798_1	SMc00680
NP_435872_1	SMa1156
NP_435386_1	SMa0263
NP_437725_1	SM_b20891
NP_435677_1	SMa0796
NP_387408_1	SMc04397
NP_436261_1	SMa1844
NP_437519_1	SM_b21539
NP_437327_1	SM_b21283
NP_435534_2	SMa0552
NP_437328_1	SM_b21284
NP_384889_1	SMc00922
NP_386218_1	SMc01429
NP_386028_1	SMc04252
NP_385072_1	SMc00101
NP_436418_2	SMa2157
NP_436017_1	SMa1410
NP_386656_1	SMc02038
NP_384124_1	SMc02776
NP_384148_1	SMc02752
NP_387171_1	SMc02470
NP_384470_1	SMc01155
NP_435395_1	SMa0279
NP_386306_1	SMc01842
NP_437028_1	SM_b20506
NP_385148_1	SMc02386
NP_385261_1	SMc00585
NP_385132_1	SMc02370
NP_384255_1	SMc02825
NP_385844_1	SMc00527
NP_385766_1	SMc00235
NP_437420_1	SM_b21213
NP_387010_1	SMc03173
NP_386602_1	SMc01962
NP_385408_1	SMc01362
NP_385316_1	SMc01772
NP_385050_1	SMc00092
NP_384501_1	SMc01125
NP_437029_1	SM_b20507
NP_437030_1	SM_b20508
NP_436851_1	SM_b20325
NP_436541_1	SM_b21652
NP_436542_1	SM_b21653
NP_436764_1	SM_b20233
NP_437313_1	SM_b21269
NP_387314_1	SMc03825
NP_436611_1	SM_b20071
NP_435609_1	SMa0684
NP_435607_4	SMa0682
NP_436161_1	SMa1670
NP_387108_1	SMc03091
NP_436159_1	SMa1667
NP_386753_1	SMc00725
NP_437213_1	SM_b21094
NP_387315_1	SMc03826
NP_387068_1	SMc03131
NP_387066_1	SMc03133
NP_437215_2	SM_b21096
NP_385581_1	SMc02121
NP_435504_1	SMa0492
NP_436796_1	SM_b20266
NP_387354_1	SMc03865
NP_385583_1	SMc02119
NP_384670_1	SMc02260
NP_385584_1	SMc02118
NP_385582_1	SMc02120
NP_384669_1	SMc02259
NP_384668_1	SMc02258
NP_384672_1	SMc02262
NP_387422_1	SMc04410
NP_437003_1	SM_b20481
NP_437900_1	SM_b20652
NP_384292_1	SMc02861
NP_436505_1	SMa2402
NP_385410_1	SMc01360
NP_386719_1	SMc02438
NP_385201_1	SMc02599
NP_385430_1	SMc01340
NP_384413_1	SMc00387
NP_386431_1	SMc01578
NP_386609_1	SMc01969
NP_387397_1	SMc04386
NP_435419_1	SMa0320
NP_384894_1	SMc00917
NP_385054_1	SMc00094
NP_437829_1	SM_b21463
NP_385769_1	SMc00238
NP_385972_1	SMc00143
NP_385973_1	SMc00142
NP_386592_1	SMc01952
NP_385639_1	SMc02063
NP_385683_1	SMc01214
NP_438023_1	SM_b20571
NP_437507_1	SM_b21528
NP_386679_1	SMc02345
NP_436723_1	SM_b20183
NP_437506_1	SM_b21527
NP_437505_1	SM_b21526
NP_386678_1	SMc02344
NP_386562_2	SMc01823
NP_436036_2	SMa1447
NP_384352_1	SMc00326
NP_386045_1	SMc04273
NP_385004_1	SMc00005
NP_385794_1	SMc00260
NP_435871_1	SMa1155
NP_384635_1	SMc02224
NP_435603_2	SMa0675
NP_435615_1	SMa0697
NP_385682_1	SMc01215
NP_386426_1	SMc01569
NP_435878_2	SMa1163
NP_384230_1	SMc04128
NP_386492_1	SMc02724
NP_386102_1	SMc04167
NP_436554_1	SM_b20011
NP_436089_2	SMa1548
NP_385065_1	SMc00038
NP_437405_1	SM_b21200
NP_438062_1	SM_b20610
NP_384950_1	SMc00862
NP_387392_1	SMc04382
NP_437350_1	SM_b21144
NP_437351_1	SM_b21145
NP_437352_1	SM_b21146
NP_437353_1	SM_b21147
NP_436044_1	SMa1462
NP_436047_1	SMa1467
NP_436045_1	SMa1465
NP_436046_1	SMa1466
NP_436859_2	SM_b20333
NP_385053_1	SMc00093
NP_385055_1	SMc00127
NP_387347_1	SMc03858
NP_385007_1	SMc00007
NP_386718_1	SMc02437
NP_385626_1	SMc02076
NP_385360_1	SMc04448
NP_386318_1	SMc01588
NP_384425_1	SMc00399
NP_385933_1	SMc00180
NP_435937_1	SMa1266
NP_384479_1	SMc01147
NP_386808_1	SMc00670
NP_386807_1	SMc00671
NP_386806_1	SMc00672
NP_436375_1	SMa2067
NP_437252_1	SM_b21133
NP_437251_1	SM_b21132
NP_437250_1	SM_b21131
NP_385615_1	SMc02087
NP_384906_1	SMc00905
NP_436528_1	SMa2371
NP_386702_1	SMc02420
NP_436668_1	SM_b20128
NP_438090_1	SM_b21631
NP_438089_1	SM_b21630
NP_385351_1	SMc01806
NP_386387_1	SMc01669
NP_384522_1	SMc01104
NP_385546_1	SMc01025
NP_385298_1	SMc01754
NP_384692_1	SMc02282
NP_435794_1	SMa1013
NP_385011_1	SMc00010
NP_385010_1	SMc00009
NP_385015_2	SMc00013
NP_385014_1	SMc00012
NP_386384_1	SMc01666
NP_385585_1	SMc02117
NP_385725_1	SMc01174
NP_384446_1	SMc00421
NP_435287_1	SMa0082
NP_387382_1	SMc03893
NP_435513_1	SMa0508
NP_437963_1	SM_b20716
NP_386214_1	SMc01425
NP_384407_1	SMc00381
NP_384665_1	SMc02255
NP_384664_1	SMc02254
NP_437855_1	SM_b21487
NP_437857_1	SM_b21489
NP_437856_1	SM_b21488
YP_002122335_1	SM_b22024
NP_384234_1	SMc04124
NP_384521_1	SMc01105
NP_384360_1	SMc00334
NP_435571_1	SMa0621
NP_435900_1	SMa1198
NP_437558_1	SM_b21578
NP_436797_1	SM_b20267
NP_387223_1	SMc03265
NP_386468_1	SMc02700
NP_385989_1	SMc04213
NP_437385_1	SM_b21179
NP_386755_1	SMc00723
NP_387345_1	SMc03856
NP_437005_1	SM_b20483
NP_384595_1	SMc02157
NP_385606_1	SMc02096
NP_385008_1	SMc00008
NP_384629_1	SMc02218
NP_384931_1	SMc00881
NP_435618_2	SMa0705
NP_386513_1	SMc01531
NP_385959_1	SMc00155
NP_384930_1	SMc00882
NP_385253_1	SMc00577
NP_386276_1	SMc01872
NP_436485_1	SMa2301
NP_437044_1	SM_b20523
NP_384738_1	SMc03000
NP_385400_1	SMc01370
NP_386253_1	SMc01464
NP_437132_1	SM_b21018
NP_437131_1	SM_b21017
NP_436915_1	SM_b20389
NP_384144_1	SMc02756
NP_386934_1	SMc04045
NP_436655_1	SM_b20115
NP_437724_1	SM_b20890
NP_437999_1	SM_b20767
NP_437134_1	SM_b21021
NP_436840_1	SM_b20314
NP_384267_1	SMc02837
NP_436680_1	SM_b20140
NP_437878_1	SM_b21508
NP_385165_1	SMc02404
NP_436789_1	SM_b20259
NP_386231_1	SMc01442
NP_384137_1	SMc02763
NP_386850_1	SMc03960
NP_385916_1	SMc00463
NP_387146_1	SMc02495
NP_385915_1	SMc00465
NP_384655_1	SMc02245
NP_385409_1	SMc01361
NP_384586_1	SMc02166
NP_438092_1	SM_b21633
NP_438094_3	SM_b21635
NP_384167_1	SMc02580
NP_385917_1	SMc00462
NP_386782_1	SMc00696
NP_385427_1	SMc01343
NP_438033_1	SM_b20581
NP_386924_1	SMc04035
NP_384262_1	SMc02832
NP_436683_1	SM_b20143
NP_384952_1	SMc00860
NP_387373_1	SMc03884
NP_385018_1	SMc00016
NP_384361_1	SMc00335
NP_386423_1	SMc01566
NP_435905_1	SMa1209
NP_387274_1	SMc03785
NP_384110_1	SMc02790
NP_385605_1	SMc02097
NP_386174_1	SMc04346
NP_385906_1	SMc00473
NP_437344_1	SM_b21300
NP_386666_1	SMc02333
NP_437602_1	SM_b20939
NP_385710_1	SMc01189
NP_386554_1	SMc01815
NP_386504_1	SMc02736
NP_384236_1	SMc04122
NP_384235_1	SMc04123
NP_384451_1	SMc00461
NP_387094_1	SMc03105
NP_387001_1	SMc03164
NP_386869_1	SMc03979
NP_384472_1	SMc01153
NP_438091_1	SM_b21632
NP_386990_1	SMc03153
NP_384808_1	SMc03068
NP_386043_1	SMc04268
NP_385549_1	SMc01028
NP_384199_1	SMc02616
NP_386159_1	SMc04299
NP_387294_1	SMc03805
NP_438093_1	SM_b21634
NP_384590_1	SMc02162
NP_385795_1	SMc00261
NP_435326_1	SMa0150
NP_384993_1	SMc00965
NP_437898_1	SM_b20650
NP_384683_1	SMc02273
NP_437020_1	SM_b20498
NP_436732_1	SM_b20199
NP_437398_1	SM_b21192
NP_436735_1	SM_b20202
NP_385890_1	SMc00535
NP_384741_1	SMc03003
NP_437913_1	SM_b20666
NP_437012_1	SM_b20490
NP_386339_1	SMc01621
NP_386909_2	SMc04019
NP_387114_1	SMc03085
NP_435248_1	SMa0005
NP_435497_1	SMa0478
NP_435250_1	SMa0009
NP_435249_1	SMa0007
NP_385284_1	SMc00609
NP_435247_1	SMa0002
NP_436392_1	SMa2101
NP_387265_3	SMc03775
NP_437432_1	SM_b21316
NP_385926_1	SMc00186
NP_436863_1	SM_b20337
NP_384826_1	SMc00775
NP_437522_1	SM_b21541
NP_384835_1	SMc00784
NP_435898_2	SMa1195
NP_438025_1	SM_b20573
NP_384902_1	SMc00909
NP_436120_1	SMa1604
NP_385929_1	SMc00183
NP_386864_1	SMc03974
NP_386380_1	SMc01662
NP_387199_1	SMc03245
NP_437388_1	SM_b21182
NP_386805_1	SMc00673
NP_387060_1	SMc03139
NP_387061_1	SMc03138
NP_384485_1	SMc01141
NP_384146_1	SMc02754
NP_387042_1	SMc03205
NP_384204_3	SMc04154
NP_436412_1	SMa2141
NP_386496_2	SMc02728
NP_385965_3	SMc00149
NP_385854_1	SMc00519
NP_385763_1	SMc00232
NP_437783_1	SM_b21416
NP_437440_1	SM_b21324
NP_436888_1	SM_b20362
NP_386884_1	SMc03994
NP_386620_1	SMc01980
NP_437908_1	SM_b20661
NP_436943_1	SM_b20417
NP_436942_1	SM_b20416
NP_436944_1	SM_b20418
NP_437021_1	SM_b20499
NP_386338_1	SMc01620
NP_436641_1	SM_b20101
NP_387183_1	SMc03229
NP_437421_1	SM_b21214
NP_387267_1	SMc03777
NP_384810_1	SMc03070
NP_384589_1	SMc02163
NP_437032_1	SM_b20510
NP_438102_1	SM_b21643
NP_438107_1	SM_b21648
NP_436531_1	SMa2377
NP_386913_1	SMc04023
NP_437625_1	SM_b20960
NP_435623_1	SMa0711
NP_386618_1	SMc01978
NP_437575_1	SM_b21595
NP_437960_2	SM_b20713
NP_437959_1	SM_b20712
NP_435281_1	SMa0072
NP_437570_1	SM_b21590
NP_437568_1	SM_b21588
NP_437567_1	SM_b21587
NP_437569_1	SM_b21589
NP_385289_1	SMc00614
NP_386086_1	SMc04334
NP_385654_1	SMc02048
NP_384210_1	SMc04148
NP_437349_3	SM_b21143
NP_387154_1	SMc02487
NP_436020_1	SMa1415
NP_385171_1	SMc02659
NP_385285_1	SMc00610
NP_435728_1	SMa0878
NP_384308_1	SMc02877
NP_384193_1	SMc02610
NP_386971_1	SMc03943
NP_386612_1	SMc01972
NP_386613_1	SMc01973
NP_386429_1	SMc01572
NP_436409_1	SMa2135
NP_386950_1	SMc03922
NP_436544_1	SM_b21655
NP_385087_1	SMc00110
NP_436831_1	SM_b20301
NP_387160_1	SMc02481
NP_386949_1	SMc04460
NP_435271_1	SMa0056
NP_385677_1	SMc01220
NP_386952_1	SMc03924
NP_436945_1	SM_b20419
NP_437825_1	SM_b21459
NP_437824_1	SM_b21458
NP_387407_1	SMc04396
NP_387405_1	SMc04394
NP_387406_1	SMc04395
NP_387404_1	SMc04393
NP_437815_1	SM_b21446
NP_386951_1	SMc03923
NP_385746_1	SMc00948
NP_384196_1	SMc02613
NP_437977_1	SM_b20745
NP_436433_1	SMa2199
NP_437255_1	SM_b21136
NP_387383_1	SMc03894
NP_387380_1	SMc03891
NP_437257_1	SM_b21138
NP_387266_1	SMc03776
NP_387212_1	SMc03252
NP_387426_1	SMc04085
NP_435368_1	SMa0228
NP_385892_1	SMc00486
NP_385230_1	SMc00554
NP_385895_1	SMc00483
NP_386917_1	SMc04028
NP_386916_2	SMc04026
NP_437387_1	SM_b21181
NP_386743_1	SMc00735
NP_387009_1	SMc03172
NP_436635_1	SM_b20095
NP_437928_1	SM_b20681
NP_386422_1	SMc01565
NP_384682_1	SMc02272
NP_386507_1	SMc02739
NP_386506_1	SMc02738
NP_386505_1	SMc02737
NP_436763_1	SM_b20232
NP_437925_1	SM_b20678
NP_436259_2	SMa1838
NP_436414_1	SMa2145
NP_385655_1	SMc02047
NP_437782_1	SM_b21415
NP_384883_1	SMc00832
NP_384885_2	SMc00926
NP_384884_1	SMc00833
NP_385182_1	SMc02648
NP_437675_1	SM_b21009
NP_386438_1	SMc01587
NP_435818_1	SMa1057
NP_385825_1	SMc00290
NP_387190_1	SMc03236
NP_384420_1	SMc00394
NP_386038_1	SMc04262
NP_437238_2	SM_b21119
NP_435517_1	SMa0514
NP_385184_1	SMc02646
NP_385598_1	SMc02104
NP_387070_1	SMc03129
NP_386724_1	SMc02443
NP_435396_1	SMa0280
NP_385887_1	SMc00538
NP_385960_1	SMc00154
NP_438037_1	SM_b20585
NP_436999_1	SM_b20477
NP_435299_1	SMa0106
NP_387075_1	SMc03124
NP_387225_1	SMc03268
NP_436998_1	SM_b20476
NP_435298_1	SMa0105
NP_437566_1	SM_b21586
NP_384444_1	SMc00419
NP_385526_1	SMc01005
NP_386491_1	SMc02723
NP_437682_1	SM_b20849
NP_437337_1	SM_b21293
NP_385743_1	SMc00945
NP_386607_1	SMc01967
NP_437470_1	SM_b21354
NP_387424_1	SMc04083
NP_386278_1	SMc01870
NP_386844_1	SMc02942
NP_386882_1	SMc03992
NP_386356_1	SMc01638
NP_386751_1	SMc00727
NP_436038_1	SMa1452
NP_384970_1	SMc00988
NP_385012_1	SMc00450
NP_437266_1	SM_b21222
NP_436486_1	SMa2303
NP_384265_1	SMc02835
NP_437828_1	SM_b21462
NP_384588_1	SMc02164
NP_387045_1	SMc03208
NP_386016_1	SMc04240
NP_437231_1	SM_b21112
NP_385983_1	SMc00133
NP_437983_1	SM_b20751
NP_386809_1	SMc00669
NP_437818_1	SM_b21449
NP_435411_1	SMa0306
NP_437371_1	SM_b21165
NP_435458_3	SMa0398
NP_384717_1	SMc02307
NP_384161_1	SMc02574
NP_436699_1	SM_b20159
NP_436499_1	SMa2329
NP_436500_1	SMa2331
NP_436501_1	SMa2333
NP_437244_1	SM_b21125
NP_387425_1	SMc04084
NP_437927_1	SM_b20680
NP_386663_1	SMc02045
NP_386836_1	SMc00641
NP_385828_1	SMc00293
NP_437810_2	SM_b21441
NP_387286_1	SMc03797
NP_385019_1	SMc00017
NP_387374_1	SMc03885
NP_385155_1	SMc02393
NP_435452_1	SMa0387
NP_437330_1	SM_b21286
NP_385855_1	SMc00518
NP_437331_1	SM_b21287
NP_436868_1	SM_b20342
NP_385898_1	SMc00480
NP_384818_1	SMc00768
NP_385842_1	SMc00529
NP_435515_1	SMa0512
NP_384159_1	SMc02572
NP_384157_1	SMc02569
NP_385767_1	SMc00236
NP_384327_1	SMc02896
NP_385077_2	SMc00042
NP_435834_1	SMa1086
NP_435580_1	SMa0636
NP_384866_1	SMc00815
NP_385620_1	SMc02082
NP_384298_1	SMc02867
NP_384299_1	SMc02868
NP_437734_1	SM_b20899
NP_387301_2	SMc03812
NP_384229_1	SMc04129
NP_384462_1	SMc01163
NP_387416_1	SMc04405
NP_387312_1	SMc03823
NP_387284_1	SMc03795
NP_385222_1	SMc02546
NP_386485_3	SMc02717
NP_437372_3	SM_b21166
NP_385226_1	SMc00550
NP_437093_2	SM_b20813
NP_436037_1	SMa1450
NP_384329_1	SMc02898
NP_385548_1	SMc01027
NP_436237_1	SMa1798
NP_385735_1	SMc00937
NP_384938_1	SMc00873
NP_385568_1	SMc01046
NP_436643_1	SM_b20103
NP_437535_1	SM_b21555
NP_385888_1	SMc00537
NP_436118_1	SMa1600
NP_384912_1	SMc00898
NP_386734_1	SMc00744
NP_385104_1	SMc00057
NP_385099_1	SMc00052
NP_387016_1	SMc03179
NP_385101_1	SMc00054
NP_385103_1	SMc00056
NP_385100_1	SMc00053
NP_437586_1	SM_b20924
NP_437631_1	SM_b20966
NP_384222_1	SMc04136
NP_437057_1	SM_b20538
NP_384221_1	SMc04137
NP_384560_1	SMc01712
NP_385502_1	SMc01268
NP_385558_1	SMc01037
NP_385613_1	SMc02089
NP_386315_1	SMc01576
NP_387325_2	SMc03836
NP_385977_1	SMc00139
NP_435505_1	SMa0493
NP_437953_1	SM_b20706
NP_384848_1	SMc00797
NP_435288_1	SMa0083
NP_387316_1	SMc03827
NP_437683_1	SM_b20850
NP_386166_1	SMc04321
NP_387043_1	SMc03206
NP_436262_1	SMa1846
NP_384168_1	SMc02581
NP_386512_1	SMc01532
NP_384804_1	SMc03064
NP_437355_1	SM_b21149
NP_384142_1	SMc02758
NP_437201_1	SM_b21082
NP_437561_1	SM_b21581
NP_386031_1	SMc04255
NP_437981_1	SM_b20749
NP_384544_1	SMc01727
NP_386455_1	SMc02687
NP_385247_1	SMc00571
NP_385517_2	SMc00996
NP_384999_1	SMc00068
NP_385711_1	SMc01188
NP_386795_1	SMc00683
NP_384263_1	SMc02833
NP_387162_1	SMc02479
NP_435387_1	SMa0265
NP_385943_1	SMc00169
NP_384500_1	SMc01126
NP_387377_1	SMc03888
NP_385562_3	SMc01040
NP_384517_1	SMc01109
NP_386616_1	SMc01976
NP_387087_1	SMc03112
NP_386092_1	SMc04342
NP_384139_1	SMc02761
NP_436288_1	SMa1894
NP_384316_1	SMc02885
NP_387290_1	SMc03801
NP_436289_1	SMa1896
NP_385097_2	SMc00117
NP_387174_1	SMc02467
NP_386995_1	SMc03158
NP_386994_1	SMc03157
NP_386996_1	SMc03159
NP_384850_1	SMc00799
NP_385144_1	SMc02382
NP_384264_1	SMc02834
NP_385509_1	SMc01261
NP_435500_1	SMa0483
NP_436779_1	SM_b20249
NP_437308_1	SM_b21264
NP_384491_1	SMc01135
NP_387361_1	SMc03872
NP_385026_2	SMc00451
NP_385850_2	SMc00539
NP_384340_1	SMc02909
NP_385667_1	SMc01230
NP_384115_1	SMc02785
NP_385164_1	SMc02403
NP_385388_1	SMc01930
NP_437989_1	SM_b20757
NP_384832_1	SMc00781
NP_386335_1	SMc01617
NP_436968_1	SM_b20446
NP_387132_1	SMc02509
NP_387133_1	SMc02508
NP_387134_1	SMc02507
NP_387135_1	SMc02506
NP_435850_2	SMa1115
NP_384916_1	SMc00894
NP_387035_1	SMc03198
NP_387033_1	SMc03196
NP_387034_1	SMc03197
NP_386267_1	SMc01881
NP_437816_1	SM_b21447
NP_438026_1	SM_b20574
NP_384949_1	SMc00863
NP_384287_1	SMc02856
NP_384503_1	SMc01123
NP_385436_1	SMc01334
NP_437341_1	SM_b21297
NP_386288_1	SMc01860
NP_387372_1	SMc03883
NP_384187_1	SMc02604
NP_386091_1	SMc04340
NP_386305_1	SMc01843
NP_436639_1	SM_b20099
NP_438075_1	SM_b20623
NP_438076_1	SM_b20624
NP_438027_1	SM_b20575
NP_386270_1	SMc01878
NP_384334_1	SMc02903
NP_435693_1	SMa0822
NP_435692_1	SMa0819
NP_386185_1	SMc04452
NP_436307_1	SMa1935
NP_385385_1	SMc01927
NP_436075_1	SMa1525
NP_385439_1	SMc01331
NP_385777_1	SMc00246
NP_387022_1	SMc03185
NP_436534_1	SMa2383
NP_437897_1	SM_b20649
NP_385952_1	SMc00161
NP_386966_1	SMc03938
NP_386968_1	SMc03950
NP_385835_1	SMc00300
NP_384686_1	SMc02276
NP_437651_1	SM_b20986
NP_385102_1	SMc00055
NP_436297_2	SMa1913
NP_385270_1	SMc00595
NP_437370_1	SM_b21164
NP_387296_1	SMc03807
NP_435688_1	SMa0814
NP_435697_1	SMa0829
NP_435699_1	SMa0831
NP_435701_1	SMa0834
NP_435695_1	SMa0825
NP_435696_1	SMa0827
NP_435698_1	SMa0830
NP_386479_1	SMc02711
NP_387268_2	SMc03778
NP_437013_1	SM_b20491
NP_386688_1	SMc02355
NP_384685_1	SMc02275
NP_436048_1	SMa1471
NP_385202_1	SMc02598
NP_435920_1	SMa1236
NP_435918_1	SMa1232
NP_435919_1	SMa1233
NP_435553_1	SMa0585
NP_435551_1	SMa0581
NP_436962_1	SM_b20436
NP_435895_1	SMa1191
NP_435940_1	SMa1273
NP_436004_1	SMa1381
NP_384541_1	SMc01730
NP_386841_1	SMc04459
NP_384288_1	SMc02857
NP_385573_1	SMc01051
NP_384480_1	SMc01146
NP_385628_1	SMc02074
NP_437650_1	SM_b20985
NP_437649_1	SM_b20984
NP_384673_1	SMc02263
NP_435614_1	SMa0695
NP_384624_1	SMc02137
NP_387039_1	SMc03202
NP_387038_1	SMc03201
NP_387040_1	SMc03203
NP_387041_1	SMc03204
NP_384438_1	SMc00412
NP_436566_1	SM_b20023
NP_435945_2	SMa1288
NP_436675_1	SM_b20135
NP_384469_1	SMc01156
NP_435502_1	SMa0486
NP_436275_2	SMa1871
NP_436959_1	SM_b20433
NP_437863_1	SM_b21494
NP_386981_1	SMc02983
NP_435606_1	SMa0680
NP_384666_2	SMc02256
NP_384587_1	SMc02165
NP_386100_1	SMc04165
NP_438031_1	SM_b20579
NP_386010_1	SMc04234
NP_384120_1	SMc02780
NP_384572_1	SMc02181
NP_386446_1	SMc02677
NP_386268_1	SMc01880
NP_386285_1	SMc01863
NP_387384_1	SMc03895
NP_438029_1	SM_b20577
NP_438028_1	SM_b20576
NP_436969_1	SM_b20447
NP_435864_1	SMa1142
NP_387058_1	SMc03141
NP_384574_1	SMc02179
NP_385556_1	SMc01035
NP_385001_1	SMc00069
NP_387389_1	SMc03900
NP_384151_1	SMc02562
NP_437417_1	SM_b21211
NP_385210_1	SMc02558
NP_436011_1	SMa1398
NP_437200_1	SM_b21081
NP_386840_1	SMc00637
NP_386340_1	SMc01622
NP_384366_1	SMc00340
NP_386871_1	SMc03981
NP_384809_1	SMc03069
NP_436332_2	SMa1978
NP_384917_1	SMc00893
NP_385494_1	SMc01276
NP_385963_1	SMc00151
NP_437979_1	SM_b20747
NP_435525_1	SMa0527
NP_436663_1	SM_b20123
NP_384268_1	SMc02838
NP_436780_1	SM_b20250
NP_385030_1	SMc00079
NP_386545_1	SMc01502
NP_385005_1	SMc00006
NP_385276_1	SMc00601
NP_384977_1	SMc00981
NP_438097_1	SM_b21638
NP_438099_1	SM_b21640
NP_438095_1	SM_b21636
NP_438096_1	SM_b21637
NP_438098_1	SM_b21639
NP_385837_1	SMc00302
NP_385831_1	SMc00296
NP_386168_1	SMc04323
NP_386078_1	SMc04326
NP_384617_1	SMc02144
NP_384618_1	SMc02143
NP_384619_1	SMc02142
NP_384615_1	SMc02146
NP_384878_2	SMc00827
NP_385764_1	SMc00233
NP_384155_1	SMc02567
NP_387193_1	SMc03239
NP_384861_1	SMc00810
NP_385324_1	SMc01780
NP_385310_1	SMc01766
NP_384464_1	SMc01161
NP_437987_1	SM_b20755
