org	model	gene	desc	conditions_now_essential	of_which_important	conditions_now_dispensable	of_which_important_	mean_fitness_growth_conditions
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__nodroprich	SO1141	carbamoyl-phosphate synthase, small subunit (NCBI ptt file)	8	8	0	0	-5.398125
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__nodroprich	SO3695	dihydroorotase, homodimeric type (NCBI ptt file)	6	6	0	0	-3.647875
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__nodroprich	SO4410	glutamine synthetase, type I (NCBI ptt file)	8	7	0	0	-3.1254375000000003
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__nodroprich	SO1676	homoserine O-succinyltransferase (NCBI ptt file)	8	7	0	0	-5.5963125
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__nodroprich	SO3726	sulfate adenylyltransferase, subunit 1 (NCBI ptt file)	8	7	0	0	-5.2540625
MR1	Shewanella_oneidensis_MR_1_xml_gapfilled__gapfilled__nodroprich	SO3727	sulfate adenylyltransferase, subunit 2 (NCBI ptt file)	8	7	0	0	-5.2034375
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__nodroprich	PP_0421	Anthranilate phosphoribosyltransferase	28	28	0	0	-3.9092708333333337
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__nodroprich	PP_0417	Anthranilate synthase component 1	28	28	0	0	-4.476877976190477
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__nodroprich	PP_4724	Carbamoyl-phosphate synthase small chain	27	26	0	0	-4.696559523809524
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__nodroprich	PP_4723	Carbamoyl-phosphate synthase large chain	27	27	0	0	-4.990303571428571
Putida	Pseudomonas_putida_KT2440_xml_gapfilled__gapfilled__nodroprich	PP_5128	Dihydroxy-acid dehydratase	28	28	0	0	-4.2375565476190475
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__nodroprich	SMc01215	carbamoyl phosphate synthase large subunit	21	21	0	0	-4.893190476190476
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__nodroprich	SMc01569	carbamoyl phosphate synthase small subunit	21	21	0	0	-4.738761904761904
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__nodroprich	SMc00614	phosphoribosylglycinamide formyltransferase	21	21	0	0	-7.016095238095238
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__nodroprich	SMc03797	homoserine O-succinyltransferase	21	21	0	0	-7.708047619047619
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__nodroprich	SMc03795	isopropylmalate isomerase small subunit	21	21	0	0	-4.150285714285714
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__nodroprich	SMc02717	2-isopropylmalate synthase	21	21	0	0	-7.289476190476191
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__nodroprich	SMc03112	B12-dependent methionine synthase	21	21	0	0	-6.431952380952381
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__nodroprich	SMc00711	cyclohexadienyl dehydrogenase	21	21	0	0	-6.304285714285713
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__nodroprich	SMc00993	phosphoribosylamine--glycine ligase	21	21	0	0	-6.755142857142857
Smeli	Sinorhizobium_meliloti_1021_xml_gapfilled__gapfilled__nodroprich	SMc00091	sulfate adenylyltransferase	21	21	0	0	-4.261904761904762
