assembly	taxid	organism	file	bytes	atps_ids	n_reactions	has_atps	genus
GCF_000330705.1	1235755	Salinicoccus carnicancri Crm	Salinicoccus_carnicancri_Crm.xml.gz	158208		1402	False	Salinicoccus
GCF_000512915.1	880074	Barnesiella viscericola DSM 18177	Barnesiella_viscericola_DSM_18177_C46_DSM_18177.xml.gz	131639		1228	False	Barnesiella
GCF_000947195.1	38313	Shewanella algae	Shewanella_algae_MARS_14.xml.gz	204504		2073	False	Shewanella
GCF_000429985.1	1121441	Desulfovibrio bastinii DSM 16055	Desulfovibrio_bastinii_DSM_16055.xml.gz	154982		1388	False	Desulfovibrio
GCF_000752395.1	1499685	Bacillus andreraoultii	Bacillus_andreraoultii.xml.gz	154719		1423	False	Bacillus
GCF_000025965.1	76114	Aromatoleum aromaticum EbN1	Aromatoleum_aromaticum_EbN1.xml.gz	190977		1851	False	Aromatoleum
GCF_000729985.1	266748	Chryseobacterium antarcticum	Chryseobacterium_antarcticum_LMG_24720.xml.gz	148760		1353	False	Chryseobacterium
GCF_000737775.1	558152	Chryseobacterium piperi	Chryseobacterium_piperi_CTM.xml.gz	177751		1696	False	Chryseobacterium
GCF_900110105.1	551995	Mucilaginibacter gossypiicola	Mucilaginibacter_gossypiicola_Gh_48.xml.gz	180416		1682	False	Mucilaginibacter
GCF_000159315.1	1423757	Lactobacillus hilgardii DSM 20176 = ATCC 8290	Lactobacillus_hilgardii_DSM_20176_ATCC_8290.xml.gz	136111		1241	False	Lactobacillus
GCF_001507645.1	1411621	Hymenobacter sedentarius	Hymenobacter_sedentarius_DG5B.xml.gz	176549	R_ATPS4rpp;	1678	True	Hymenobacter
GCF_001729245.1	28452	Leptospira alstonii	Leptospira_alstonii_GWTS_1.xml.gz	160128		1440	False	Leptospira
GCF_000711955.1	1122604	Nevskia soli DSM 19509	Nevskia_soli_DSM_19509.xml.gz	190059		1799	False	Nevskia
GCF_001630115.1	1455	Bacillus badius	Bacillus_badius_SGD_V_25.xml.gz	158373		1455	False	Bacillus
GCF_000243115.2	929713	Niabella soli DSM 19437	Niabella_soli_DSM_19437_JS13_8_DSM_19437.xml.gz	170584		1606	False	Niabella
GCF_000009945.1	264202	Chlamydia felis Fe/C-56	Chlamydia_felis_Fe_C_56.xml.gz	85882		809	False	Chlamydia
GCF_000426305.1	1120998	Anaerovorax odorimutans DSM 5092	Anaerovorax_odorimutans_DSM_5092.xml.gz	134767		1216	False	Anaerovorax
GCF_000311865.1	1118062	Peptoniphilus obesi ph1	Peptoniphilus_obesi_ph1.xml.gz	100082		891	False	Peptoniphilus
GCF_000242595.2	889378	Spirochaeta africana DSM 8902	Spirochaeta_africana_DSM_8902.xml.gz	141920		1303	False	Spirochaeta
GCF_000332315.1	317619	Prochlorothrix hollandica PCC 9006 = CALU 1027	Prochlorothrix_hollandica_PCC_9006_CALU_1027.xml.gz	137517		1174	False	Prochlorothrix
GCF_000284415.1	1150469	Pararhodospirillum photometricum DSM 122	Pararhodospirillum_photometricum_DSM_122.xml.gz	170064		1564	False	Pararhodospirillum
GCF_900112975.1	935223	Flavobacterium xueshanense	Flavobacterium_xueshanense_CGMCC_1_9227.xml.gz	157494		1421	False	Flavobacterium
GCF_000177235.2	649639	Bacillus cellulosilyticus DSM 2522	Bacillus_cellulosilyticus_DSM_2522.xml.gz	152622		1366	False	Bacillus
GCF_000775775.1	1562701	bacterium endosymbiont of Mortierella elongata FMR23-6	bacterium_endosymbiont_of_Mortierella_elongata_FMR23_6.xml.gz	125707		1116	False	bacterium
GCF_002006565.1	1076596	Acetobacter persici	Acetobacter_persici_TMW2_1084.xml.gz	147052		1357	False	Acetobacter
GCF_000423245.1	1122146	Lactobacillus ceti DSM 22408	Lactobacillus_ceti_DSM_22408.xml.gz	94538		861	False	Lactobacillus
GCF_002086335.1	560555	Mycobacterium mantenii	Mycobacterium_mantenii_DSM_45255.xml.gz	167923		1477	False	Mycobacterium
GCF_000827005.1	1888	Streptomyces albus	Streptomyces_albus_DSM_41398.xml.gz	193649		1842	False	Streptomyces
GCF_001660005.1	1867252	Borrelia hermsii HS1	Borrelia_hermsii_HS1.xml.gz	76648		707	False	Borrelia
GCF_000193395.1	767031	Prevotella denticola F0289	Prevotella_denticola_F0289.xml.gz	133638		1282	False	Prevotella
GCF_000964085.1	345309	Luteibacter yeojuensis	Luteibacter_yeojuensis_SU11.xml.gz	174076	R_ATPS4rpp;	1676	True	Luteibacter
GCF_001708305.1	1888195	Streptococcus himalayensis	Streptococcus_himalayensis_HTS2.xml.gz	117691		1100	False	Streptococcus
GCF_900089125.1	114977	Mycobacterium acapulcensis	Mycobacterium_acapulcensis_CSURP1424.xml.gz	157959		1362	False	Mycobacterium
GCF_001590985.1	1219034	Novosphingobium naphthalenivorans NBRC 102051	Novosphingobium_naphthalenivorans_NBRC_102051.xml.gz	181053		1741	False	Novosphingobium
GCF_001021555.1	874156	Erythrobacter marinus	Erythrobacter_marinus_KCTC_23554.xml.gz	148226		1402	False	Erythrobacter
GCF_001637225.1	253703	Paenibacillus antarcticus	Paenibacillus_antarcticus_CECT_5836.xml.gz	165191		1533	False	Paenibacillus
GCF_900103275.1	686624	Tessaracoccus oleiagri	Tessaracoccus_oleiagri_CGMCC_1_9159.xml.gz	153730		1396	False	Tessaracoccus
GCF_000372865.1	1132443	Methylosarcina fibrata AML-C10	Methylosarcina_fibrata_AML_C10.xml.gz	165199	R_ATPS4rpp;	1539	True	Methylosarcina
GCF_000014265.1	203124	Trichodesmium erythraeum IMS101	Trichodesmium_erythraeum_IMS101.xml.gz	144750		1268	False	Trichodesmium
GCF_000008205.1	262719	Mycoplasma hyopneumoniae J	Mycoplasma_hyopneumoniae_J.xml.gz	52106		452	False	Mycoplasma
GCF_002086795.1	75922	Mycobacterium tusciae	Mycobacterium_tusciae_DSM_44153.xml.gz	172477		1533	False	Mycobacterium
GCF_000253015.1	696125	Bartonella clarridgeiae 73	Bartonella_clarridgeiae_73.xml.gz	110863		1029	False	Bartonella
GCF_000022145.1	455488	Anaeromyxobacter dehalogenans 2CP-1	Anaeromyxobacter_dehalogenans_2CP_1.xml.gz	172871		1586	False	Anaeromyxobacter
GCF_000026605.1	40041	Streptococcus equi subsp. zooepidemicus	Streptococcus_equi_subsp_zooepidemicus_H70.xml.gz	115342		1078	False	Streptococcus
GCF_000023065.1	595494	Tolumonas auensis DSM 9187	Tolumonas_auensis_DSM_9187.xml.gz	196024	R_ATPS4rpp;	1959	True	Tolumonas
GCF_000468015.1	411473	Ruminococcus callidus ATCC 27760	Ruminococcus_callidus_ATCC_27760.xml.gz	131778		1199	False	Ruminococcus
GCF_000565175.1	1276246	Spiroplasma culicicola AES-1	Spiroplasma_culicicola_AES_1.xml.gz	70755		632	False	Spiroplasma
GCF_900187375.1	89968	Hymenobacter gelipurpurascens	Hymenobacter_gelipurpurascens_DSM_11116.xml.gz	176437		1658	False	Hymenobacter
GCF_900168015.1	572036	Pedobacter luteus	Pedobacter_luteus_DSM_22385.xml.gz	161991		1499	False	Pedobacter
GCF_900107845.1	152573	Alkalimonas amylolytica	Alkalimonas_amylolytica_CGMCC_1_3430.xml.gz	174649		1639	False	Alkalimonas
GCF_000407545.1	1158614	Enterococcus gilvus ATCC BAA-350	Enterococcus_gilvus_ATCC_BAA_350.xml.gz	145219		1327	False	Enterococcus
GCF_001676155.1	368603	Morganella psychrotolerans	Morganella_psychrotolerans_GCSL_P101.xml.gz	204217	R_ATPS4rpp;	2159	True	Morganella
GCF_900111755.1	349064	Thalassotalea agarivorans	Thalassotalea_agarivorans_DSM_19706.xml.gz	177449		1717	False	Thalassotalea
GCF_001761345.1	621456	Sphingomonas melonis TY	Sphingomonas_melonis_TY.xml.gz	168823		1603	False	Sphingomonas
GCF_900096905.1	1612202	Pelagirhabdus alkalitolerans	Pelagirhabdus_alkalitolerans_S5.xml.gz	132378		1181	False	Pelagirhabdus
GCF_000828475.1	1384459	Methyloceanibacter caenitepidi	Methyloceanibacter_caenitepidi_Gela4.xml.gz	159268		1469	False	Methyloceanibacter
GCF_900148505.1	1123029	Pseudoxanthobacter soli DSM 19599	Pseudoxanthobacter_soli_DSM_19599.xml.gz	192317		1775	False	Pseudoxanthobacter
GCF_001722335.1	1776	Mycobacterium flavescens	Mycobacterium_flavescens_M6.xml.gz	171336		1509	False	Mycobacterium
GCF_000023225.1	525897	Desulfomicrobium baculatum DSM 4028	Desulfomicrobium_baculatum_DSM_4028.xml.gz	157294		1442	False	Desulfomicrobium
GCF_000342045.1	1244869	Magnetospirillum caucaseum	Magnetospirillum_caucaseum_SO_1.xml.gz	172690		1575	False	Magnetospirillum
GCF_900142405.1	1055723	Muricauda antarctica	Muricauda_antarctica_CGMCC_1_12174.xml.gz	167163		1536	False	Muricauda
GCF_900167025.1	225004	Treponema berlinense	Treponema_berlinense_ATCC_BAA_909.xml.gz	122185		1101	False	Treponema
GCF_000614105.1	1122987	Prevotella micans DSM 21469 = JCM 16134	Prevotella_micans_DSM_21469_JCM_16134.xml.gz	113396		1040	False	Prevotella
GCF_000023925.1	478801	Kytococcus sedentarius DSM 20547	Kytococcus_sedentarius_DSM_20547.xml.gz	144743		1320	False	Kytococcus
GCF_002028405.1	926	Thiomonas intermedia	Thiomonas_intermedia_ATCC_15466.xml.gz	168984		1561	False	Thiomonas
GCF_000741525.1	1437606	Bifidobacterium bohemicum DSM 22767	Bifidobacterium_bohemicum_DSM_22767.xml.gz	99966		852	False	Bifidobacterium
GCF_000423805.1	1123364	Thalassobaculum salexigens DSM 19539	Thalassobaculum_salexigens_DSM_19539.xml.gz	194253		1770	False	Thalassobaculum
GCF_000160775.2	585531	Aeromicrobium marinum DSM 15272	Aeromicrobium_marinum_DSM_15272.xml.gz	129127		1069	False	Aeromicrobium
GCF_001613165.1	1210089	Nocardia mexicana NBRC 108244	Nocardia_mexicana_NBRC_108244.xml.gz	193743		1783	False	Nocardia
GCF_000423345.1	1122194	Marinimicrobium agarilyticum DSM 16975	Marinimicrobium_agarilyticum_DSM_16975.xml.gz	170294	R_ATPS4rpp;	1594	True	Marinimicrobium
GCF_000425585.1	1123356	Terrimonas ferruginea DSM 30193	Terrimonas_ferruginea_DSM_30193.xml.gz	170246		1579	False	Terrimonas
GCF_000223375.1	759362	Ketogulonicigenium vulgare WSH-001	Ketogulonicigenium_vulgare_WSH_001.xml.gz	162429		1501	False	Ketogulonicigenium
GCF_900148515.1	1073327	Algoriphagus zhangzhouensis	Algoriphagus_zhangzhouensis_DSM_25035.xml.gz	161857		1471	False	Algoriphagus
GCF_001853345.1	653954	Sphingomonas haloaromaticamans	Sphingomonas_haloaromaticamans_P3.xml.gz	180795		1751	False	Sphingomonas
GCF_000376225.1	1120973	Effusibacillus pohliae DSM 22757	Effusibacillus_pohliae_DSM_22757.xml.gz	168772		1579	False	Effusibacillus
GCF_900129315.1	1194090	Aliifodinibius roseus	Aliifodinibius_roseus_DSM_21986.xml.gz	166587		1551	False	Aliifodinibius
GCF_000246895.1	545243	Clostridium arbusti SL206	Clostridium_arbusti_SL206.xml.gz	152058		1378	False	Clostridium
GCF_000429605.1	1121032	Azonexus hydrophilus DSM 23864	Azonexus_hydrophilus_DSM_23864.xml.gz	162335	R_ATPS4rpp;	1490	True	Azonexus
GCF_001305595.1	528244	Azospirillum thiophilum	Azospirillum_thiophilum_BV_S.xml.gz	203561		1877	False	Azospirillum
GCF_000242615.2	903818	Holophaga foetida DSM 6591	Holophaga_foetida_DSM_6591.xml.gz	163226		1504	False	Holophaga
GCF_900167095.1	64969	Oceanospirillum multiglobuliferum	Oceanospirillum_multiglobuliferum_ATCC_33336.xml.gz	167858	R_ATPS4rpp;	1508	True	Oceanospirillum
GCF_002215215.1	1192854	Granulosicoccus antarcticus IMCC3135	Granulosicoccus_antarcticus_IMCC3135.xml.gz	224645	R_ATPS4rpp;	2165	True	Granulosicoccus
GCF_000247565.1	1142511	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	Wigglesworthia_glossinidia_endosymbiont_of_Glossina_morsitans_morsitans_Yale_colony.xml.gz	86943	R_ATPS4rpp;	753	True	Wigglesworthia
GCF_001592105.1	1285191	Desulfotomaculum intricatum	Desulfotomaculum_intricatum_NBRC_109411.xml.gz	134470		1196	False	Desulfotomaculum
GCF_000312345.1	1203190	Corynebacterium timonense 5401744	Corynebacterium_timonense_5401744.xml.gz	139074		1228	False	Corynebacterium
GCF_000016905.1	391009	Thermosipho melanesiensis BI429	Thermosipho_melanesiensis_BI429.xml.gz	105222		865	False	Thermosipho
